City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
265,merizo village,13.2658,144.6691,88.36,81,100,14.61,GU,1702258522
266,san antonio de pale,-1.4014,5.6325,81.25,79,97,13.38,GQ,1702258455
267,at taj,24.2049,23.2857,51.89,58,0,9.08,LY,1702258523
268,new castle,41.0037,-80.347,37.42,74,100,5.75,US,1702258323
269,tolanaro,-25.0319,46.9987,77.07,94,20,16.11,MG,1702258523
270,kurtamysh,54.9103,64.4319,-20.43,96,17,8.01,RU,1702258524
271,nar'yan-mar,67.6713,53.087,-8.9,91,100,11.01,RU,1702258524
272,enewetak,11.3474,162.3373,81.91,76,98,18.39,MH,1702258524
273,nuuk,64.1835,-51.7216,27.21,74,75,3.44,GL,1702258524
274,tofol,5.3248,163.0078,83.98,79,75,6.91,FM,1702258525
275,luganville,-15.5333,167.1667,80.28,65,100,10.56,VU,1702258525
276,tsiombe,-25.3,45.4833,74.5,86,95,2.55,MG,1702258464
277,kruisfontein,-34.0033,24.7314,56.88,92,0,3.83,ZA,1702258426
278,massawa,15.6097,39.45,80.31,70,46,2.73,ER,1702258387
279,san francisco,37.7749,-122.4194,55.94,64,75,5.99,US,1702258336
280,antofagasta,-23.65,-70.4,65.48,79,6,2.73,CL,1702258330
281,kisangani,0.5167,25.2,68.63,99,100,1.16,CD,1702258527
282,qeshm,26.9581,56.2719,58.89,51,100,3.09,IR,1702258527
283,rumoi,43.9344,141.6428,28.24,72,100,18.1,JP,1702258527
284,masvingo,-20.0637,30.8277,67.19,89,100,6.91,ZW,1702258528
285,diego de almagro,-26.3667,-70.05,63.95,51,10,2.89,CL,1702258479
286,cole harbour,44.6724,-63.4751,44.71,97,100,1.01,CA,1702258528
287,kasongo-lunda,-6.4667,16.8167,69.78,99,100,1.1,CD,1702258529
288,aldama,22.9167,-98.0667,61.5,35,52,7.94,MX,1702258529
289,avarua,-21.2078,-159.775,80.65,78,75,28.77,CK,1702258530
290,horta,38.5333,-28.6333,62.02,74,99,18.99,PT,1702258530
291,hassi messaoud,31.6804,6.0729,55.11,46,81,8.55,DZ,1702258530
292,aibak,36.2647,68.0155,49.41,32,100,6.31,AF,1702258531
293,salym,60.0625,71.4789,-26.41,98,8,3.27,RU,1702258531
294,macau,22.2006,113.5461,77.72,94,40,2.3,MO,1702258531
295,namie,37.4833,141.0,53.98,65,100,7.92,JP,1702258451
296,nikolayevsk-on-amure,53.1406,140.73,-4.49,89,100,15.37,RU,1702258532
